TRADE_CHNL_DESC,TRADE_GROUP_DESC,TRADE_TYPE_DESC,channel_id
SPORT VENUE,ENTERTAINMENT,ALCOHOLIC,0
SUPERETTE,SERVICES,MIX,1
PLANT / OFFICE,SERVICES,MIX,2
MASS MERCHANDISER,GROCERY,MIX,3
LIQUOR/BEER/WINE/SOFT,GROCERY,ALCOHOLIC,4
CONVENIENCE STORE,SERVICES,MIX,5
QUICK SERVICE RESTAURANT,ENTERTAINMENT,ALCOHOLIC,6
SUPERMARKET,GROCERY,MIX,7
ALL OTHER,OTHER,MIX,8
OTHER EATING + DRINKING,SERVICES,MIX,9
RESTAURANT,ENTERTAINMENT,ALCOHOLIC,10
HYPER-MERCHANDISER,GROCERY,MIX,11
DRUG STORE,GROCERY,MIX,12
TRANSPORTATION,SERVICES,NON ALCOHOLIC,13
MILITARY-COMMISARY,GOV & MILITARY,MIX,14
MILITARY-OTHER,GOV & MILITARY,MIX,15
COLLEGE/UNIVERSITY,ACADEMIC,NON ALCOHOLIC,16
PRIMARY/SECONDARY SCHOOL,ACADEMIC,NON ALCOHOLIC,17
HEALTH / HOSPITAL,ACADEMIC,NON ALCOHOLIC,18
GENERAL MERCHANDISER,GROCERY,MIX,19
LODGING,ENTERTAINMENT,ALCOHOLIC,20
AUTOMOTIVE SERVICES,SERVICES,NON ALCOHOLIC,21
LOCAL+TRADITIONAL GROCERY,GROCERY,MIX,22
AMUSEMENT/RECREATIONAL,ENTERTAINMENT,NON ALCOHOLIC,23
CASH + CARRY RETAIL,GROCERY,MIX,24
MILITARY-EXCHANGE,GOV & MILITARY,MIX,25
GOVERNMENT(NON-MILITARY),GOV & MILITARY,NON ALCOHOLIC,26
WHOLESALE,GROCERY,MIX,27
BAR/TAVERN/LICENSED EST,ENTERTAINMENT,ALCOHOLIC,28
RETAIL SPECIALITY SVCS,GROCERY,ALCOHOLIC,29
CLUB STORE,ENTERTAINMENT,ALCOHOLIC,30
